Name,Val,Type?,?,?,?,Datatype from ethip-endpoint.csv
Program:FlowCounterPgm,ErrorUnsupported,4200,1,3,0,
Program:BlendDryAdd2,ErrorUnsupported,4200,2,3,0,
UDI:Ceiling_FUNC,ErrorUnsupported,4920,3,3,0,
Program:BlendDischargePump,ErrorUnsupported,4200,4,3,0,
UDI:Rounding_FUNC,ErrorUnsupported,4920,5,3,0,
__CONTAINER,0,196,6,3,4,
Task:FreqCount,ErrorUnsupported,4208,7,3,0,
Program:BlendChemAdd4,ErrorUnsupported,4200,8,3,0,
Rpm_Gear_Tags,1.1754944E-38,8387,9,3,2,
Map:D_Input,ErrorNotAllowed,4201,10,3,0,
Program:BlendChemAdd8,ErrorUnsupported,4200,11,3,0,
Local:1:C,9.5E-44,34990,12,3,72,
Program:BlendChemAdd5,ErrorUnsupported,4200,13,3,0,
Cxn:InputData:5b399077,ErrorUnsupported,4222,14,3,0,
Program:MainProgram,ErrorUnsupported,4200,15,3,0,
Local:1:I,1E-45,35448,16,3,68,
Program:BlendChemAdd3,ErrorUnsupported,4200,17,3,0,
Program:BlendSandAdd,ErrorUnsupported,4200,18,3,0,
Total_Stages_INT,1.1754944E-38,195,19,3,2,DINT
Task:Blender,ErrorUnsupported,4208,20,3,0,
Program:BlendChemAdd2,ErrorUnsupported,4200,21,3,0,
Program:BlendChemAdd6,ErrorUnsupported,4200,22,3,0,
Task:MainTask,ErrorUnsupported,4208,23,3,0,
Map:D_Input_2,ErrorNotAllowed,4201,24,3,0,
Local:2:C,9.5E-44,34990,25,3,72,
SandSCrew_PlaceHolder_Tags,0,8394,26,3,4,
Cxn:InputData:c7bc7a68,ErrorUnsupported,4222,27,3,0,
Local:2:I,1E-45,35448,28,3,68,
Program:BlendSuctionPump,ErrorUnsupported,4200,29,3,0,
Program:BlendUnit,ErrorUnsupported,4200,30,3,0,
UDI:GaugeScaling_FUNC,ErrorUnsupported,4920,31,3,0,
Program:BlendTub,ErrorUnsupported,4200,32,3,0,
Program:BlendChemAdd7,ErrorUnsupported,4200,33,3,0,
